"cardinal","ordinal","complement","inversionallySymmetrical","transpositionalSymmetry","normalIF","primeIFIsTypeB","rahnNormalForm","primeIsTypeB","fortePrimeForm","forteName","zMateForteOrdinal","setTypeIsSelfComplementary","intervalVector","trichordTypeVector"
0,0,351,true,12,,,,,,0-1,,,000000,000000000-0000000000
1,1,350,true,,0,,0,,,1-1,,,000000,000000000-0000000000
2,2,344,true,,1B,,01,,,2-1,,,100000,000000000-0000000000
2,3,345,true,,2A,,02,,,2-2,,,010000,000000000-0000000000
2,4,346,true,,39,,03,,,2-3,,,001000,000000000-0000000000
2,5,347,true,,48,,04,,,2-4,,,000100,000000000-0000000000
2,6,348,true,,57,,05,,,2-5,,,000010,000000000-0000000000
2,7,349,true,2,66,,06,,,2-6,,,000001,000000000-0000000000
3,8,325,true,,11A,,012,,,3-1,,,210000,100000000-0000000000
3,9,326,,,129,,013,,,3-2a,,,111000,010000000-0000000000
3,10,327,,,192,,023,,,3-2b,,,111000,001000000-0000000000
3,11,328,,,138,,014,,,3-3a,,,101100,000100000-0000000000
3,12,329,,,183,,034,,,3-3b,,,101100,000010000-0000000000
3,13,330,,,147,,015,,,3-4a,,,100110,000001000-0000000000
3,14,331,,,174,,045,,,3-4b,,,100110,000000100-0000000000
3,15,332,,,156,,016,,,3-5a,,,100011,000000010-0000000000
3,16,333,,,165,,056,,,3-5b,,,100011,000000001-0000000000
3,17,334,true,,228,,024,,,3-6,,,020100,000000000-1000000000
3,18,335,,,237,,025,,,3-7a,,,011010,000000000-0100000000
3,19,336,,,273,,035,,,3-7b,,,011010,000000000-0010000000
3,20,337,,,246,,026,,,3-8a,,,010101,000000000-0001000000
3,21,338,,,264,,046,,,3-8b,,,010101,000000000-0000100000
3,22,339,true,,255,,027,,,3-9,,,010020,000000000-0000010000
3,23,340,true,,336,,036,,,3-10,,,002001,000000000-0000001000
3,24,341,,,345,,037,,,3-11a,,,001110,000000000-0000000100
3,25,342,,,354,,047,,,3-11b,,,001110,000000000-0000000010
3,26,343,true,3,444,,048,,,3-12,,,000300,000000000-0000000001
4,27,282,true,,1119,,0123,,,4-1,,,321000,211000000-0000000000
4,28,283,,,1128,,0124,,,4-2a,,,221100,110100000-1000000000
4,29,284,,,1182,,0234,,,4-2b,,,221100,101010000-1000000000
4,30,285,true,,1218,,0134,,,4-3,,,212100,011110000-0000000000
4,31,286,,,1137,,0125,,,4-4a,,,211110,100101000-0100000000
4,32,287,,,1173,,0345,,,4-4b,,,211110,100010100-0010000000
4,33,288,,,1146,,0126,,,4-5a,,,210111,100001010-0001000000
4,34,289,,,1164,,0456,,,4-5b,,,210111,100000101-0000100000
4,35,290,true,,1155,,0127,,,4-6,,,210021,100000011-0000010000
4,36,291,true,,1317,,0145,,,4-7,,,201210,000111100-0000000000
4,37,292,true,,1416,,0156,,,4-8,,,200121,000001111-0000000000
4,38,293,true,2,1515,,0167,,,4-9,,,200022,000000022-0000000000
4,39,294,true,,1272,,0235,,,4-10,,,122010,011000000-0110000000
4,40,295,,,1227,,0135,,,4-11a,,,121110,010001000-1010000000
4,41,296,,,1722,,0245,,,4-11b,,,121110,001000100-1100000000
4,42,297,,,1263,,0346,true,,4-12a,,,112101,010010000-0000101000
4,43,298,,,1362,,0236,true,,4-12b,,,112101,001100000-0001001000
4,44,299,,,1236,,0136,,,4-13a,,,112011,010000010-0100001000
4,45,300,,,1632,,0356,,,4-13b,,,112011,001000001-0010001000
4,46,301,,,1254,,0457,true,,4-14a,,,111120,010000100-0000010010
4,47,302,,,1452,,0237,true,,4-14b,,,111120,001001000-0000010100
4,48,303,,,1245,,0137,,,4-Z29a,15,,111111,010000001-0001000100
4,49,304,,,1542,,0467,,,4-Z29b,15,,111111,001000010-0000100010
4,50,305,,,1326,,0146,,,4-Z15a,29,,111111,000100010-0010100000
4,51,306,,,1623,,0256,,,4-Z15b,29,,111111,000010001-0101000000
4,52,307,,,1425,,0157,,,4-16a,,,110121,000001001-0000110000
4,53,308,,,1524,,0267,,,4-16b,,,110121,000000110-0001010000
4,54,309,true,,1353,,0347,,,4-17,,,102210,000110000-0000000110
4,55,310,,,1335,,0147,,,4-18a,,,102111,000100001-0000001010
4,56,311,,,1533,,0367,,,4-18b,,,102111,000010010-0000001100
4,57,312,,,1344,,0148,,,4-19a,,,101310,000100100-0000000101
4,58,313,,,1443,,0348,,,4-19b,,,101310,000011000-0000000011
4,59,314,true,,1434,,0158,,,4-20,,,101220,000001100-0000000110
4,60,315,true,,2226,,0246,,,4-21,,,030201,000000000-2001100000
4,61,316,,,2235,,0247,,,4-22a,,,021120,000000000-1100010010
4,62,317,,,2253,,0357,,,4-22b,,,021120,000000000-1010010100
